"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2020","4.41","4.35","4.71","4.30","6.21M","5.76%"
"Mar 25, 2020","4.17","4.18","4.49","4.07","3.59M","0.24%"
"Mar 24, 2020","4.16","3.95","4.21","3.93","6.81M","9.19%"
"Mar 23, 2020","3.81","3.58","3.86","3.50","6.01M","1.33%"
"Mar 20, 2020","3.76","4.08","4.08","3.65","7.72M","-10.26%"
"Mar 19, 2020","4.19","3.71","4.20","3.55","5.02M","11.14%"
"Mar 18, 2020","3.77","4.08","4.25","3.50","3.65M","-10.87%"
"Mar 17, 2020","4.23","4.40","4.65","4.11","3.56M","-3.20%"
"Mar 16, 2020","4.37","3.93","4.57","3.90","4.87M","-4.79%"
"Mar 13, 2020","4.59","4.13","4.65","3.85","5.79M","15.33%"
"Mar 12, 2020","3.98","3.70","4.04","3.48","5.12M","-3.86%"
"Mar 11, 2020","4.14","4.14","4.25","4.00","4.41M","-2.13%"
"Mar 10, 2020","4.23","3.94","4.26","3.80","4.86M","14.32%"
"Mar 09, 2020","3.70","3.59","3.97","3.50","2.73M","-5.61%"
"Mar 06, 2020","3.92","3.84","4.07","3.76","2.10M","-1.01%"
"Mar 05, 2020","3.96","3.70","3.99","3.59","3.60M","5.04%"
"Mar 04, 2020","3.77","3.71","3.83","3.46","4.26M","3.86%"
"Mar 03, 2020","3.63","3.88","3.89","3.50","4.28M","-5.22%"
"Mar 02, 2020","3.83","3.60","3.85","3.39","3.21M","6.39%"
"Feb 28, 2020","3.60","3.34","3.72","3.34","4.69M","3.75%"
"Feb 27, 2020","3.47","3.23","3.62","3.18","3.88M","2.36%"
"Feb 26, 2020","3.39","3.58","3.62","3.36","4.73M","-4.78%"
"Feb 25, 2020","3.56","3.77","3.79","3.55","4.45M","-3.78%"
"Feb 24, 2020","3.70","3.90","3.93","3.70","3.57M","-8.42%"
"Feb 21, 2020","4.04","4.12","4.18","3.99","1.70M","-2.42%"
"Feb 20, 2020","4.14","4.16","4.29","4.11","1.56M","-0.24%"
"Feb 19, 2020","4.15","4.06","4.27","3.92","2.59M","2.22%"
"Feb 18, 2020","4.06","4.01","4.08","3.96","1.47M","1.00%"
"Feb 14, 2020","4.02","4.11","4.19","4.02","1.58M","-2.19%"
"Feb 13, 2020","4.11","4.12","4.26","4.07","2.08M","-1.91%"
"Feb 12, 2020","4.19","4.13","4.51","4.07","4.82M","4.23%"
"Feb 11, 2020","4.02","3.98","4.24","3.95","3.42M","2.03%"
"Feb 10, 2020","3.94","3.85","4.10","3.74","2.78M","3.41%"
"Feb 07, 2020","3.81","4.11","4.13","3.77","2.74M","-7.97%"
"Feb 06, 2020","4.14","4.20","4.30","4.13","1.51M","-0.96%"
"Feb 05, 2020","4.18","4.15","4.41","4.14","2.64M","2.70%"
"Feb 04, 2020","4.07","4.03","4.25","3.97","3.56M","3.04%"
"Feb 03, 2020","3.95","3.88","3.98","3.85","2.03M","2.86%"
"Jan 31, 2020","3.84","3.91","3.94","3.83","2.89M","-2.29%"
"Jan 30, 2020","3.93","4.10","4.12","3.88","3.01M","-4.84%"
